,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
0,Davidson Street 750,2020," Chennai, Tamil Nadu",750,Single Owner,5000,535000,2022-09-09,Harley Davidson
1,Avenger 220 DTS-i,2014," Pune, Maharashtra",220,Single Owner,50000,45000,2022-09-09,Bajaj
2,Enfield Classic 350,2015," Gurgaon, Haryana",346,Single Owner,8600,130000,2022-09-09,Royal Enfield
3,RC 200,2019," Mumbai, Maharashtra",200,Single Owner,9500,140000,2022-09-09,KTM
4,FZ-S,2017," New Delhi, Delhi",153,Single Owner,34000,50000,2022-09-09,Yamaha
5,Enfield Thunderbird 350,2014," Pune, Maharashtra",346,Single Owner,35000,120000,2022-09-09,Royal Enfield
6,XPulse 200 BS6,2020," Punalur, Kollam, Kerala",200,Single Owner,12500,110000,2022-09-09,Hero
7,Roadster Dark,2022," Hyderabad, Telangana",334,Single Owner,973,200000,2022-09-09,Yezdi
8,CB Unicorn 160,2016," Hyderabad, Telangana",162,Single Owner,17000,60000,2022-08-09,Honda
9,Enfield Classic 350,2014," Ghaziabad, Uttar Pradesh",346,Single Owner,70000,95000,2022-09-09,Royal Enfield
10,CB300R,2019, Chandigarh,300,Single Owner,10000,220000,2022-08-09,Honda
11,CBR 250R ABS,2013," Greater Noida, Uttar Pradesh",250,Single Owner,21343,80000,2022-08-09,Honda
12,Svartpilen 250 2020,2020," Mumbai, Maharashtra",250,Single Owner,5500,180000,2022-08-09,Husqvarna
13,Enfield Classic 350,2019," Gurgaon, Haryana",346,Single Owner,40000,120000,2022-08-09,Royal Enfield
15,Svartpilen 250 2020,2021," New Delhi, Delhi",250,Single Owner,350,180000,2022-07-09,Husqvarna
16,Enfield Classic 350,2016," Hyderabad, Telangana",346,Single Owner,34000,120000,2022-07-09,Royal Enfield
17,Enfield Thunderbird X 350,2018," Bangalore, Karnataka",346,Single Owner,26000,170000,2022-07-09,Royal Enfield
18,390 Adventure,2020," Kolhapur, Maharashtra",391,Single Owner,12750,340000,2022-07-09,KTM
19,Unicorn 160 BS6,2022," Chennai, Tamil Nadu",162,Single Owner,7500,100000,2022-08-09,Honda
20,G 310 R,2022," Hyderabad, Telangana",313,Single Owner,19000,325000,2022-06-09,BMW
21,Avenger Street 220 BS6,2021, Delhi,220,Single Owner,3200,115000,2022-06-09,Bajaj
22,Davidson Superlow,2012, Chandigarh,883,Single Owner,11000,315000,2022-06-09,Harley Davidson
23,Mojo UT 300,2017," Kaithal, Haryana",300,Single Owner,47000,130000,2022-06-09,Mahindra
24,Pulsar 200 NS,2013," Noida, Uttar Pradesh",199,Single Owner,48783,54000,2022-06-09,Bajaj
25,XBlade BS6,2021," Mumbai, Maharashtra",160,Single Owner,3300,105000,2022-09-09,Honda
26,FZ-S FI V3,2019," Ghaziabad, Uttar Pradesh",149,Single Owner,9300,80000,2022-08-09,Yamaha
27,Enfield Classic 350,2012," Ahmedabad, Gujarat",346,Single Owner,41000,90000,2022-06-09,Royal Enfield
28,Dominar 400 ABS BS6,2019," Pune, Maharashtra",400,Single Owner,24000,160000,2022-06-09,Bajaj
29,Enfield Thunderbird TwinSpark 350,2016," New Delhi, Delhi",346,Single Owner,13800,125000,2022-06-09,Royal Enfield
30,Gixxer SF,2019," Gurgaon, Haryana",155,Single Owner,9100,100000,2022-06-09,Suzuki
31,FZ-S FI V2,2016," Kanchipuram, Tamil Nadu",149,Single Owner,93000,48998,2022-06-09,Yamaha
32,Fazer,2011," Bangalore, Karnataka",153,Single Owner,39000,50000,2022-05-09,Yamaha
33,FZ-S FI V3 BS6,2021," Pune, Maharashtra",149,Single Owner,5700,110000,2022-05-09,Yamaha
34,FZ-X,2022," Guwahati, Assam",150,Single Owner,2315,125000,2022-05-09,Yamaha
35,Dominar 400 ABS BS6,2018," Gurgaon, Haryana",400,Single Owner,8000,120000,2022-06-09,Bajaj
36,YZF R15 V3 BS6,2021, Jharkhand,155,Single Owner,7500,125000,2022-05-09,Yamaha
37,Davidson Street Rod,2019," East Medinipur, West Bengal",749,Single Owner,2900,555000,2022-07-09,Harley Davidson
38,Enfield Continental GT 650 Twin,2022," Bardhaman, West Bengal",535,Single Owner,1800,330000,2022-05-09,Royal Enfield
39,Enfield Thunderbird 500,2015, Chandigarh,499,Single Owner,18000,120000,2022-05-09,Royal Enfield
40,Pulsar NS 160 BS6,2021," Kanpur Nagar, Uttar Pradesh",160,Single Owner,12000,120000,2022-10-09,Bajaj
41,Imperiale 400 BS6,2022," Ernakulam, Kerala",400,Single Owner,8200,230000,2022-10-09,Benelli
42,Apache RTR 160 4V,2018," Jaipur, Rajasthan",160,Single Owner,4500,60000,2022-10-09,TVS
43,Enfield Himalayan,2016," Jaipur, Rajasthan",411,Single Owner,5000,175000,2022-09-09,Royal Enfield
44,Enfield Classic Chrome,2016," Chennai, Tamil Nadu",499,Single Owner,23700,135000,2022-09-09,Royal Enfield
45,Pulsar 150 DTSi,2015," Dibrugarh, Assam",150,Single Owner,43000,50000,2022-09-09,Bajaj
46,CBR 250R,2012," New Delhi, Delhi",249,Single Owner,28000,55000,2022-09-09,Honda
47,GS 150R,2015," Bangalore, Karnataka",150,Two,23000,55000,2022-09-09,Suzuki
48,Enfield Classic 500,2018," Surajpur, Chhattisgarh",499,Single Owner,24000,160000,2022-09-09,Royal Enfield
49,Enfield Himalayan BS VI,2022," New Delhi, Delhi",411,Single Owner,1450,225000,2022-08-09,Royal Enfield
50,Enfield Classic Gunmetal Grey,2018," Chennai, Tamil Nadu",346,Single Owner,21500,160000,2022-08-09,Royal Enfield
51,Enfield Classic 500,2016," Surat, Gujarat",499,Single Owner,26836,150000,2022-08-09,Royal Enfield
52,forty two BS6,2020," Kolkata, West Bengal",293,Single Owner,6695,160000,2022-10-09,Jawa
53,Enfield Classic,2017," Mumbai, Maharashtra",346,Single Owner,17000,130000,2022-10-09,Royal Enfield
