,Movie_Name,Release_Year,Time_mnts,Movie_type,Ratings,Metascore,Votes,Gross_$
0,The Shawshank Redemption,1994,142,Drama            ,9.3,81,2638889,28340000
1,The Godfather,1972,175,"Crime, Drama            ",9.2,100,1829116,134970000
3,The Dark Knight,2008,152,"Action, Crime, Drama            ",9.0,84,2610455,534860000
4,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama            ",9.0,94,1814282,377850000
5,Schindler's List,1993,195,"Biography, Drama, History            ",9.0,94,1338094,96900000
6,The Godfather Part II,1974,202,"Crime, Drama            ",9.0,90,1254150,57300000
7, Angry Men,1957,96,"Crime, Drama            ",9.0,96,779120,4360000
9,Pulp Fiction,1994,154,"Crime, Drama            ",8.9,94,2019585,107930000
10,Inception,2010,148,"Action, Adventure, Sci-Fi            ",8.8,74,2313980,292580000
11,The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Drama            ",8.8,87,1638428,342550000
12,Fight Club,1999,139,Drama            ,8.8,66,2082676,37030000
13,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama            ",8.8,92,1838051,315540000
14,Forrest Gump,1994,142,"Drama, Romance            ",8.8,82,2042869,330250000
15,"Il buono, il brutto, il cattivo",1966,161,"Adventure, Western            ",8.8,90,753752,6100000
17,The Matrix,1999,136,"Action, Sci-Fi            ",8.7,73,1888180,171480000
18,Goodfellas,1990,145,"Biography, Crime, Drama            ",8.7,90,1143256,46840000
19,The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy            ",8.7,82,1275691,290480000
20,One Flew Over the Cuckoo's Nest,1975,133,Drama            ,8.7,84,997212,112000000
21,Interstellar,2014,169,"Adventure, Drama, Sci-Fi            ",8.6,74,1781589,188020000
22,Cidade de Deus,2002,130,"Crime, Drama            ",8.6,79,750182,7560000
23,Sen to Chihiro no kamikakushi,2001,125,"Animation, Adventure, Family            ",8.6,96,749713,10060000
24,Saving Private Ryan,1998,169,"Drama, War            ",8.6,91,1371805,216540000
25,The Green Mile,1999,189,"Crime, Drama, Fantasy            ",8.6,61,1281466,136800000
26,La vita è bella,1997,116,"Comedy, Drama, Romance            ",8.6,59,686855,57600000
27,Se,1995,127,"Crime, Drama, Mystery            ",8.6,65,1622971,100130000
28,Terminator ,1991,137,"Action, Sci-Fi            ",8.6,75,1085607,204840000
29,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller            ",8.6,85,1410377,130740000
30,Star Wars,1977,121,"Action, Adventure, Fantasy            ",8.6,90,1348402,322740000
32,Shichinin no samurai,1954,207,"Action, Drama            ",8.6,98,343483,270000
37,Gisaengchung,2019,132,"Comedy, Drama, Thriller            ",8.5,96,774841,53370000
38,Whiplash,2014,106,"Drama, Music            ",8.5,88,837276,13090000
40,The Intouchables,2011,112,"Biography, Comedy, Drama            ",8.5,57,846044,13180000
41,The Prestige,2006,130,"Drama, Mystery, Sci-Fi            ",8.5,66,1315466,53090000
42,The Departed,2006,151,"Crime, Drama, Thriller            ",8.5,85,1308453,132380000
43,The Pianist,2002,150,"Biography, Drama, Music            ",8.5,85,820007,32570000
44,Gladiator,2000,155,"Action, Adventure, Drama            ",8.5,67,1479308,187710000
45,American History X,1998,119,"Crime, Drama            ",8.5,62,1110955,6720000
46,The Usual Suspects,1995,106,"Crime, Drama, Mystery            ",8.5,77,1074230,23340000
47,Léon,1994,110,"Action, Crime, Drama            ",8.5,64,1145803,19500000
48,The Lion King,1994,88,"Animation, Adventure, Drama            ",8.5,88,1043703,422780000
49,Nuovo Cinema Paradiso,1988,155,"Drama, Romance            ",8.5,80,258795,11990000
51,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi            ",8.5,87,1184859,210610000
52,Apocalypse Now,1979,147,"Drama, Mystery, War            ",8.5,94,660994,83470000
53,Alien,1979,117,"Horror, Sci-Fi            ",8.5,89,870347,78900000
54,Once Upon a Time in the West,1968,165,Western            ,8.5,80,327285,5320000
55,Psycho,1960,109,"Horror, Mystery, Thriller            ",8.5,97,663942,32000000
56,Rear Window,1954,112,"Mystery, Thriller            ",8.5,100,487365,36760000
57,Casablanca,1942,102,"Drama, Romance, War            ",8.5,100,566819,1020000
58,Modern Times,1936,87,"Comedy, Drama, Romance            ",8.5,96,240796,160000
59,City Lights,1931,87,"Comedy, Drama, Romance            ",8.5,99,183832,20000
61,Capharnaüm,2018,126,Drama            ,8.4,75,88038,1660000
62,JokerI) ,2019,122,"Crime, Drama, Thriller            ",8.4,59,1239659,335450000
63,Kimi no na wa.,2016,106,"Animation, Drama, Fantasy            ",8.4,79,261464,5020000
64,Spider-Man: Into the Spider-Verse,2018,117,"Animation, Action, Adventure            ",8.4,87,513181,190240000
65,Avengers: Endgame,2019,181,"Action, Adventure, Drama            ",8.4,78,1099131,858370000
66,Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi            ",8.4,68,1053916,678820000
